Organism,Reference,Similarity_Score,Novelty_score,Cluster_Rank,BGC_Type,Compounds,Matched_Organism,Habitat,Source
Shewanella piezotolerans WP16,BGC0000441.4,0.21,0.79,35,NRPS,teicoplanin,Actinoplanes teichomyceticus,Deep sea ,antiSMASH
Shewanella piezotolerans WP17,BGC0000440.5,0.21,0.79,36,NRPS,"Teicoplanin A2-1, Teicoplanin A2-2, Teicoplanin A2-3, Teicoplanin A2-4, Teicoplanin A2-5",Actinoplanes teichomyceticus,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000074.5,0.21,0.79,37,PKS,herbimycin A,Streptomyces hygroscopicus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000168.5,0.21,0.79,38,PKS,viridicatumtoxin,Penicillium aethiopicum,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000062.4,0.21,0.79,39,PKS,"Fumonisin B1, Fumonisin B2, Fumonisin B3",Fusarium verticillioides,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000970.5,0.21,0.79,40,"NRPS, PKS",chondrochloren A,Chondromyces crocatus,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001283.3,0.21,0.79,41,PKS,Bisenarsan,Streptomyces lividans 1326,Arctic Ocean,antiSMASH
Penicillium citrinum ,BGC0001339.5,0.21,0.79,42,PKS,squalestatin S1,Phoma sp. MF5453,Mangrove sediment,antiSMASH
Salinispora tropica CNB-528,BGC0001146.5,0.21,0.79,43,ribosomal,cyclothiazomycin C,Streptomyces sp. NRRL WC-3908,Marine Sponge,antiSMASH
Halorubrum lacusprofundi ATCC 49266,BGC0001379.5,0.21,0.79,44,NRPS,BD-12,Streptomyces luteocolor,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49267,BGC0002300.2,0.21,0.79,45,NRPS,"albomycin delta2, albomycin delta1, albomycin epsilon",Streptomyces sp. ATCC 700974,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0002300.2,0.21,0.79,46,NRPS,"albomycin delta2, albomycin delta1, albomycin epsilon",Streptomyces sp. ATCC 700974,Coastal sea water,antiSMASH
Tropicibacter alexandrii,BGC0001441.5,0.21,0.79,47,other (other),"belactosin A, belactosin C",Streptomyces sp.,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000926.5,0.21,0.79,48,other (other),rhizocticin A,Bacillus subtilis subsp. spizizenii ATCC 6633,Marine Dinoflagellate,antiSMASH
Shewanella piezotolerans WP15,BGC0000780.3,0.22,0.78,49,saccharide,O&K-antigen,Vibrio parahaemolyticus,Deep sea ,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002420.3,0.22,0.78,50,"NRPS, PKS","vacidobactin A, vacidobactin B",Variovorax paradoxus S110,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000066.5,0.22,0.78,51,PKS,geldanamycin,Streptomyces hygroscopicus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001220.4,0.22,0.78,52,NRPS,aculeacin A,Aspergillus japonicus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002138.2,0.22,0.78,53,PKS,"fuelimycin A, fuelimicin B, fuelimicin C",Streptomyces albireticuli NRRL B-1670,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000187.5,0.22,0.78,54,PKS,asukamycin,Streptomyces nodosus subsp. asukaensis,Arctic Ocean,antiSMASH
Penicillium citrinum ,BGC0000925.5,0.22,0.78,55,other (other),quinolobactin,Pseudomonas fluorescens,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001563.3,0.22,0.78,56,"NRPS, PKS",curvupallide-B,Cochliobolus pallescens,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0001122.4,0.22,0.78,57,"NRPS, PKS","dihydroisoflavipucine, isoflavipucine",Aspergillus terreus NIH2624,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49264,BGC0002588.2,0.22,0.78,58,other (other),enduracididine,uncultured bacterium,Antarctic hypersaline,antiSMASH
Halorubrum lacusprofundi ATCC 49265,BGC0002288.2,0.22,0.78,59,NRPS,"ashimide A, ashimide B",Streptomyces sp. NA03103,Antarctic hypersaline,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000350.5,0.22,0.78,60,NRPS,ET-743,uncultured organism,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001193.5,0.22,0.78,61,NRPS,thiolutin,Saccharothrix algeriensis,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0001138.5,0.22,0.78,62,other (nucleoside),a201a,Marinactinospora thermotolerans,Hypersaline lake,antiSMASH
Tropicibacter alexandrii,BGC0002046.3,0.22,0.78,63,"NRPS, PKS",lobatamide A,Gynuella sunshinyii YC6258,Marine Dinoflagellate,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000211.5,0.23,0.77,64,PKS,chrysomycin,Streptomyces albaduncus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001143.4,0.23,0.77,65,PKS,"azanigerone A, azanigerone B, azanigerone C, azanigerone D, azanigerone E, azanigerone F",Aspergillus niger ATCC 1015,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001569.4,0.23,0.77,66,NRPS,dechlorocuracomycin,Streptomyces noursei ATCC 11455,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0001656.3,0.23,0.77,67,PKS,"luminaolide , luminaolide B",Planktothrix paucivesiculata PCC 9631,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0000464.5,0.23,0.77,68,NRPS,"xenoamicin A, xenoamicin B",Xenorhabdus doucetiae,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0002308.2,0.23,0.77,69,"PKS, other (other)","camporidine A, camporidine B",Streptomyces sp.,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0000818.5,0.23,0.77,70,NRPS,notoamide A,Aspergillus versicolor,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001010.5,0.23,0.77,71,"NRPS, PKS",melithiazol A,Melittangium lichenicola,Arctic Ocean,antiSMASH
Penicillium citrinum ,BGC0002204.3,0.23,0.77,72,"NRPS, PKS","flavichalasine F, flavichalasine G, aspochalasin C, aspochalasin E, aspochalasin M, TMC-169, aspergillin PZ",Aspergillus flavipes,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002205.2,0.23,0.77,73,"NRPS, PKS","phomacin D, phomacin E",Parastagonospora nodorum SN15,Mangrove sediment,antiSMASH
Salinispora tropica CNB-522,BGC0001860.4,0.23,0.77,74,ribosomal,thiomuracin,Thermobispora bispora DSM 43833,Marine Sponge,antiSMASH
Salinispora tropica CNB-523,BGC0000613.5,0.23,0.77,75,ribosomal,thiomuracin A,Nonomuraea sp. Bp3714-39,Marine Sponge,antiSMASH
Salinispora tropica CNB-524,BGC0000535.4,0.23,0.77,76,ribosomal,nisin A,Lactococcus lactis subsp. lactis,Marine Sponge,antiSMASH
Salinispora tropica CNB-525,BGC0000536.3,0.23,0.77,77,ribosomal,nisin Q,Lactococcus lactis,Marine Sponge,antiSMASH
Salinispora tropica CNB-526,BGC0002274.2,0.23,0.77,78,NRPS,"aspulvinone H, aspulvinone B1",Aspergillus terreus NIH2624,Marine Sponge,antiSMASH
Salinispora tropica CNB-527,BGC0002193.2,0.23,0.77,79,other (other),phenguignardic acid,Aspergillus terreus NIH2624,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0002722.2,0.23,0.77,80,"other (other), saccharide, terpene","α-chaconine, α-solanine",Solanum tuberosum,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49263,BGC0002652.2,0.23,0.77,81,"other (other), saccharide","cytosaminomycin F, cytosaminomycin G, streptcytosine P, plicacetin, 40551-F, 12F-plicacetin, streptcytosine D, streptcytosine E",Streptomyces sp. SHP22-7,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0000220.4,0.23,0.77,82,PKS,enterocin,Streptomyces maritimus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002366.2,0.23,0.77,83,PKS,"enterocin, neoenterocin A, neoenterocin B",Streptomyces sp. SCSIO 11863,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000125.5,0.23,0.77,84,PKS,pimaricin,Streptomyces natalensis,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000213.4,0.23,0.77,85,PKS,colabomycin E,Streptomyces aureus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002104.3,0.23,0.77,86,"NRPS, PKS","eurocidin D, eurocidin E",Streptomyces eurocidicus ATCC 27428,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0001138.5,0.23,0.77,87,other (nucleoside),a201a,Marinactinospora thermotolerans,Marine solar saltern,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000873.3,0.23,0.77,88,other (other),A-201A,Saccharothrix mutabilis subsp. capreolus,Hypersaline lake,antiSMASH
Tropicibacter alexandrii,BGC0001177.4,0.23,0.77,89,PKS,mensacaricin,Streptomyces bottropensis,Marine Dinoflagellate,antiSMASH
Marinobacter nauticus,BGC0001369.3,0.24,0.76,90,PKS,metatricycloene,uncultured bacterium,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000398.5,0.24,0.76,91,NRPS,orfamide B,Pseudomonas sp. CMR12a,Seawater layers,antiSMASH
Marinobacter nauticus,BGC0000609.3,0.24,0.76,92,ribosomal,nocathiacin,Nocardia sp. ATCC 202099,Seawater layers,antiSMASH
Colwellia psychrerythraea 34H,BGC0001127.5,0.24,0.76,93,NRPS,jagaricin,Janthinobacterium agaricidamnosum,Arctic Ocean,antiSMASH
Penicillium citrinum ,BGC0000383.5,0.24,0.76,94,"NRPS, PKS","luminmycin A, glidobactin A, cepafungin",Photorhabdus laumondii subsp. laumondii TTO1,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002297.2,0.24,0.76,95,"NRPS, PKS","MC-LR, MC-LHty, MC-HphHty, MC-LHph, MC-HphHph",Phormidium sp. LP904c,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000651.5,0.24,0.76,96,terpene,KS-505a,Streptomyces argenteolus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000168.5,0.24,0.76,97,PKS,viridicatumtoxin,Penicillium aethiopicum,Mangrove sediment,antiSMASH
Salinispora tropica CNB-521,BGC0000538.3,0.24,0.76,98,ribosomal,nisin Z,Lactococcus lactis,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0000686.3,0.24,0.76,99,terpene,helvolic acid,Aspergillus fumigatus Af293,Open ocean (photic zone),antiSMASH
Cladosporium halotolerans,BGC0001195.3,0.24,0.76,100,"NRPS, PKS","nocardiopsin A, nocardiopsin B, nocardiopsin C, nocardiopsin D",Nocardiopsis sp. CMB-M0232,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002333.3,0.24,0.76,101,PKS,lucensomycin,Streptomyces cyanogenus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0000971.5,0.24,0.76,102,"NRPS, PKS",cinnabaramide A,Streptomyces cinnabarigriseus,Coastal sea water,antiSMASH
Cladosporium halotolerans,BGC0002649.2,0.24,0.76,103,"NRPS, PKS",nocamycin V,Amycolatopsis sp. EV170708-02-1,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000873.3,0.24,0.76,104,other (other),A-201A,Saccharothrix mutabilis subsp. capreolus,Marine solar saltern,antiSMASH
Pyrococcus furiosus DSM 3640,BGC0001917.4,0.24,0.76,105,PKS,"5aTHQ-9i, 5aTHQ-9n, 5aTHQ-10a, STAMs-9i, STAMs-9n",Streptomyces nigrescens,Marine sediment,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000883.5,0.24,0.76,106,other (other),arginomycin,Streptomyces arginensis,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000243.4,0.24,0.76,107,PKS,"nonactin, monactin, dinactin, trinactin, tetranactin",Streptomyces griseus subsp. griseus,Hypersaline lake,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000761.5,0.24,0.76,108,saccharide,exopolysaccharide,Methylobacillus sp. 12S,Hypersaline lake,antiSMASH
Tropicibacter alexandrii,BGC0001302.5,0.24,0.76,109,other (other),lomofungin,Streptomyces lomondensis,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0001439.5,0.24,0.76,110,"PKS, saccharide","antibiotic HKI 10311129, antibiotic A2121-1, cervimycin D, cervimycin C, cervimycin A",Streptomyces sp. CS113,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000216.5,0.24,0.76,111,PKS,dactylocycline A,Dactylosporangium sp. SC14051,Marine Dinoflagellate,antiSMASH
Tropicibacter alexandrii,BGC0000106.5,0.24,0.76,112,PKS,naphthomycin A,Streptomyces sp. CS,Marine Dinoflagellate,antiSMASH
Marinobacter nauticus,BGC0000399.5,0.25,0.75,113,NRPS,"orfamide A, orfamide C",Pseudomonas protegens Pf-5,Seawater layers,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000649.3,0.25,0.75,114,terpene,carotenoid,Streptomyces griseus subsp. griseus NBRC 13350,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000257.5,0.25,0.75,115,PKS,"Roseophilin, Prodigiosin R1, Prodigiosin R2, Prodigiosin R3",Streptomyces griseoviridis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001067.5,0.25,0.75,116,"PKS, terpene",Fumagillin,Aspergillus fumigatus Af293,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002409.3,0.25,0.75,117,NRPS,"frankobactin A1, frankobactin A2, frankobactin A3, frankobactin B1, frankobactin B2, frankobactin B3, frankobactin C1",Frankia sp. CH37,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0000350.5,0.25,0.75,118,NRPS,ET-743,uncultured organism,Arctic Ocean,antiSMASH
Rubritalea marina DSM 17735,BGC0002044.2,0.25,0.75,119,NRPS,empedopeptin,Massilia sp. YMA4,Coral reef,antiSMASH
Rubritalea marina DSM 17754,BGC0001126.4,0.25,0.75,120,"other (other), terpene","12-epi-hapalindole J isonitrile, ambiguine A isonitrile, ambiguine B isonitrile, ambiguine C isonitrile, ambiguine D isonitrile, ambiguine E isonitrile, ambiguine K isonitrile, ambiguine L isonitrile, ambiguine I isonitrile, ambiguine J isonitrile",Fischerella ambigua UTEX 1903,Coral reef,antiSMASH
Rubritalea marina DSM 17755,BGC0001501.5,0.25,0.75,121,other (other),ambiguine P,Fischerella sp. TAU,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001339.5,0.25,0.75,122,PKS,squalestatin S1,Phoma sp. MF5453,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001426.4,0.25,0.75,123,"NRPS, PKS",myxochromide A,Myxococcus xanthus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001425.4,0.25,0.75,124,"NRPS, PKS",myxochromide A,Myxococcus xanthus DK 1622,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001423.4,0.25,0.75,125,"NRPS, PKS",myxochromide C,Myxococcus hansupus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001428.4,0.25,0.75,126,"NRPS, PKS",myxochromide A,Myxococcus xanthus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001421.4,0.25,0.75,127,"NRPS, PKS",myxochromide B,Myxococcus sp.,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001427.4,0.25,0.75,128,"NRPS, PKS",myxochromide A,Myxococcus xanthus,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0001424.4,0.25,0.75,129,"NRPS, PKS",myxochromide C,Myxococcus virescens,Mangrove sediment,antiSMASH
Salinispora tropica CNB-520,BGC0000544.4,0.25,0.75,130,ribosomal,planosporicin,Planomonospora alba,Marine Sponge,antiSMASH
Thalassiosira pseudonana,BGC0000195.5,0.25,0.75,131,PKS,"alnumycin A, alnumycin B, alnumycin C, alnumycin P, prealnumycin, thalnumycin A, thalnumycin B, K1115A, 1,6-dihydro-8-propylanthraquinone",Streptomyces sp. CM020,Open ocean (photic zone),antiSMASH
Thalassiosira pseudonana,BGC0001283.3,0.25,0.75,132,PKS,Bisenarsan,Streptomyces lividans 1326,Open ocean (photic zone),antiSMASH
Halorubrum lacusprofundi ATCC 49262,BGC0001289.5,0.25,0.75,133,ribosomal,penisin,Paenibacillus ehimensis,Antarctic hypersaline,antiSMASH
Cladosporium halotolerans,BGC0000168.5,0.25,0.75,134,PKS,viridicatumtoxin,Penicillium aethiopicum,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0002012.4,0.25,0.75,135,PKS,"julichrome Q3-3, julichrome Q3-5",Streptomyces afghaniensis 772,Marine solar saltern,antiSMASH
Pyrococcus furiosus DSM 3639,BGC0000864.3,0.25,0.75,136,other (other),eicosapentaenoic acid-like compound,Moritella marina ATCC 15381,Marine sediment,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000715.5,0.25,0.75,137,saccharide,actinospectacin,Streptomyces spectabilis,Hypersaline lake,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001298.4,0.26,0.74,138,PKS,"4-Z-annimycin, 4-E-annimycin",Streptomyces calvus,Coral reef,antiSMASH
Marinobacter nauticus,BGC0002044.2,0.26,0.74,139,NRPS,empedopeptin,Massilia sp. YMA4,Seawater layers,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0000067.5,0.26,0.74,140,PKS,geldanamycin,Streptomyces hygroscopicus subsp. duamyceticus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001495.3,0.26,0.74,141,PKS,actinoallolide A,Actinoallomurus fulvus,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001712.3,0.26,0.74,142,other (other),ochrindole A,Aspergillus steynii IBT 23096,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001571.3,0.26,0.74,143,terpene,demethoxyviridin,Nodulisporium sp.,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0002611.2,0.26,0.74,144,NRPS,mulundocandin,Aspergillus mulundensis,Coral Reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001371.4,0.26,0.74,145,NRPS,echinocandin B,Aspergillus nidulans NRRL 8112,Coral Reef,antiSMASH
Colwellia psychrerythraea 34H,BGC0001215.5,0.26,0.74,146,NRPS,conglobatin,Streptomyces conglobatus,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0002122.2,0.26,0.74,147,NRPS,gramicidin S,Aneurinibacillus migulanus,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001591.4,0.26,0.74,148,other (other),"fatty acid enol ester, N-tetradecanoyl tyrosine",uncultured bacterium CSLC2,Arctic Ocean,antiSMASH
Colwellia psychrerythraea 34H,BGC0001108.5,0.26,0.74,149,"NRPS, PKS","pederin, pseudopederin, pederone",Uncultured bacterium,Arctic Ocean,antiSMASH
Rubritalea marina DSM 17753,BGC0001594.3,0.26,0.74,150,other (other),fischerindole L,Fischerella muscicola UTEX 1829,Coral reef,antiSMASH
Penicillium citrinum ,BGC0001569.4,0.26,0.74,151,NRPS,dechlorocuracomycin,Streptomyces noursei ATCC 11455,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0002543.3,0.26,0.74,152,NRPS,acrophiarin,Phialomyces arenicola,Mangrove sediment,antiSMASH
Penicillium citrinum ,BGC0000120.5,0.26,0.74,153,PKS,patulin,Penicillium expansum,Mangrove sediment,antiSMASH
Thalassiosira pseudonana,BGC0001177.4,0.26,0.74,154,PKS,mensacaricin,Streptomyces bottropensis,Open ocean (photic zone),antiSMASH
Cladosporium halotolerans,BGC0000058.5,0.26,0.74,155,PKS,FD-891,Streptomyces graminofaciens,Coastal sea water,antiSMASH
Haloarchaeobius amylolyticus,BGC0000716.5,0.26,0.74,156,saccharide,spectinomycin,Streptomyces netropsis,Marine solar saltern,antiSMASH
Haloarchaeobius amylolyticus,BGC0000715.5,0.26,0.74,157,saccharide,actinospectacin,Streptomyces spectabilis,Marine solar saltern,antiSMASH
Natranaerroarchaeum aerophilua,BGC0000716.5,0.26,0.74,158,saccharide,spectinomycin,Streptomyces netropsis,Hypersaline lake,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000979.3,0.27,0.73,159,"NRPS, PKS",cylindrospermopsin,Aphanizomenon sp. 10E9,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000980.3,0.27,0.73,160,"NRPS, PKS",cylindrospermopsin,Aphanizomenon sp. 22D11,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000188.5,0.27,0.73,161,other (other),"saxitoxin, neosaxitoxin, decarbamoylsaxitoxin, gonyautoxin 3, gonyautoxin 2",Cylindrospermopsis raciborskii T3,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0000041.3,0.27,0.73,162,PKS,oronofacic acid,Pseudomonas syringae,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001014.5,0.27,0.73,163,"NRPS, PKS",micacocidin,Ralstonia solanacearum GMI1000,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001127.5,0.27,0.73,164,NRPS,jagaricin,Janthinobacterium agaricidamnosum,Coral reef,antiSMASH
Pseudoalteromonas luteoviolacea,BGC0001369.3,0.27,0.73,165,PKS,metatricycloene,uncultured bacterium,Coral reef,antiSMASH
Aureobasidium pullulans var. aubasidianus,BGC0001141.4,0.27,0.73,166,PKS,4-epi-15-epi-brefeldin A,Penicillium brefeldianum,Coral Reef,antiSMASH
